_id,_accuracy,__text
EM.47.103.1,correct,One is heavier than another see it settles in how many layers there is ingredients.
EM.47.109.1,correct,Because the sand is heavier.
EM.47.116.1,correct,Because the sand is the heaviest and the sand would go to the bottom.
EM.47.122.1,correct,We shook it up and sand is heavier than water so it went to the bottom.
EM.47.172.1,correct,The sand and flour separate because sand is heavier than flour.
EM.47.179.1,incorrect,Evaporating separates the 2.
EM.47.314.1,incorrect,Sand and water have different size particles and they stick together.
EM.47.315.1,incorrect,"The sand and salt weigh different, one is big one is little."
EM.47.318.1,incorrect,"Because the water dissolves separates the sand and flour, and they group with their sister minerals that are same size."
EM.47.353.1,incorrect,The sand is heavier than the flour.
EM.47.384.1,incorrect,"The sand and flour separate because the sand is heavier than the flour, so the flour goes to the top and the sand sinks."
EM.47.386.1,incorrect,They are a soft substance that disintegrates when it mixes with water.
EM.47.391.1,incorrect,They separate because the sand is heavier than the flour.
EM.47.393.1,incorrect,The sand and flour separate because sand floats to the top and the flour stays on the bottom.
EM.47.396.1,incorrect,I think the sand is on the bottom because it is heavy and the flour is in the water because it is smaller and does not weigh a lot.
EM.47.420.1,incorrect,It separated because the sand sank below the flour and the flour stayed on top.
EM.47.428.1,incorrect,The sand is harder then the flour so that is that is why they separate.
EM.47.429.1,incorrect,They separate because the water made them into layers. That is why they separated.
EM.47.434.1,correct,The sand and the flour separate because the sand is heavier and it sinks to the bottom and the flour is lighter and goes on top of the sand.
EM.47.439.1,incorrect,They separate because the water makes them into layers by making water onto sand in middle and gray material on bottom.
EM.47.451.1,incorrect,It separates because of the water.
EM.47.488.1,incorrect,The sand is the heaviest one because it is more heavier than the flour.
EM.47.495.1,incorrect,Because sand is heavier than flour.
EM.47.498.1,incorrect,"Because the sand way too heavy when we put in the water, but the flour was the opposite! Because the sand was too heavy to float in the cold acid like the flour."
EM.47.502.1,correct,Because the sand is big so it goes on the bottom and the flour is small so it goes on the top of the sand.
EM.47.509.1,correct,Because the sand is heavier than the flour so the sand fell to the bottom before the flour had a chance to fall down and what is heavier falls down faster.
EM.47.532.1,incorrect,If you put the sand then the flour then the gray materials then the water the gray materials speeds the sand and the flour.
EM.47.537.1,incorrect,By dissolving and in water the sand moves around in it.
EM.47.539.1,incorrect,Because when the rock breaks. They break into pieces that land heavier from gets.
EM.47.565.1,incorrect,Because the flour was lighter than the sand.
EM.47.568.1,incorrect,Because the sand is heavy and flour is light.
EM.47.575.1,correct,Sand and flour separate because sand is heavier than flour.
EM.47.594.1,correct,The sand is heavier than flour the sand goes down because it is heavy the flour is light.
EM.47.600.1,correct,There is layers and on the top there is flour because the heavy and the bottom is the sand because sand heavier and it goes down.
EM.47.634.1,incorrect,Because if you let it sit the sand goes to the bottom and flour goes up.
