_count,_answerMatch,_id,_accuracy,__text
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj3-l1.qa213,incorrect,is the difference between two terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj3-l1.qa214,incorrect,is the difference between terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj3-l1.qa215,incorrect,the is a difference in the terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj3-l1.qa216,correct,is the difference in electrial stat between terminals
3,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj7-l1.qa204,correct,the difference in electrical states between two terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj8-l1.qa250,correct,the difference in the electrical states of the positive and negative terminals of a battery
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj8-l1.qa251,correct,the measurement between the electrical states of the positive and negative terminals of a battery
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj8-l1.qa252,incorrect,"electricity difference between the battey""s positive and negative terminals"
1,,FaultFinding-VOLTAGE_DEFINE_Q.sbj9-l1.qa208,incorrect,a measurement of current and flowing the a source.
1,,FaultFinding-VOLTAGE_DEFINE_Q.sbj9-l1.qa209,incorrect,a measurement of current flowing through a source.
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj9-l1.qa210,incorrect,a difference between the electrical states.
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj10-l1.qa238,incorrect,the difference between the positive and negative terminals of a battery
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj10-l1.qa240,incorrect,the difference of electrical states in a battery
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj10-l1.qa241,incorrect,the difference in electricity between terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj11-l1.qa231,correct,teh difference of electrical states between two terminals
5,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj12-l1.qa203,incorrect,The difference between two terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj12-l1.qa205,incorrect,Two terminals that have different electrical states
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj13-l1.qa244,incorrect,a measurement of electricity
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj13-l1.qa246,incorrect,the different in the positive terminal and negative terminal.
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj13-l1.qa247,incorrect,the difference between the electrical state of the positive terminal and the negative terminal.
1,,FaultFinding-VOLTAGE_DEFINE_Q.sbj14-l1.qa230,incorrect,voltage is the measure of electrical charges in a component.
1,,FaultFinding-VOLTAGE_DEFINE_Q.sbj14-l1.qa231,incorrect,voltage is the amount of electrical charge within a component.
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj14-l1.qa232,incorrect,voltage is the difference between tow terminals.
1,,FaultFinding-VOLTAGE_DEFINE_Q.sbj15-l1.qa252,incorrect,the measurement of power of electricity
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj15-l1.qa254,incorrect,the difference in connections between terminals
3,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj15-l1.qa255,correct,the difference in electrical state between two terminals
2,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj18-l1.qa201,correct,The difference in electrical states between two terminals.
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj19-l1.qa275,incorrect,the difference in batteries
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj19-l1.qa276,incorrect,difference between the baterry and termnial
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj19-l1.qa277,incorrect,the difference in the electrical state between the battery and terminal
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj22-l1.qa236,incorrect,voltage is the difference between states
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj22-l1.qa237,incorrect,it is the difference between the electrical states
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj22-l1.qa238,correct,voltage is the difference in the electrical states between the terminals
2,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj23-l1.qa204,incorrect,The difference in electrical states.
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj23-l1.qa205,incorrect,The measurement in difference of the electrical states.
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj24-l1.qa253,correct,measurement of the difference in electrical states between two terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj26-l1.qa252,incorrect,the measurment of power to a source of energy
1,,FaultFinding-VOLTAGE_DEFINE_Q.sbj26-l1.qa253,incorrect,the power of the terminal
1,,FaultFinding-VOLTAGE_DEFINE_Q.sbj26-l1.qa255,incorrect,gods state
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj28-l1.qa229,incorrect,the difference between electrical charges of battery terminals
1,,FaultFinding-VOLTAGE_DEFINE_Q.sbj28-l1.qa230,incorrect,the difference of chemical signals between terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj28-l1.qa231,incorrect,the difference between electrical charges in a battery
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj28-l1.qa232,incorrect,terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj29-l1.qa222,incorrect,the difference in electricity created by chemical reactions between two terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj30-l1.qa216,incorrect,The difference between the two ends of the battery
1,,FaultFinding-VOLTAGE_DEFINE_Q.sbj30-l1.qa218,incorrect,different chemical output
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj30-l1.qa219,incorrect,Difference between the electrical state of the two ends of the battery
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj31-l1.qa223,incorrect,potential difference
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj31-l1.qa224,incorrect,difference in eletricity
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj31-l1.qa225,incorrect,potential difference between 2 terminal
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj31-l1.qa226,correct,difference in electrical state between two terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj33-l1.qa218,incorrect,the difference between the positive and negative measurements of power
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj34-l1.qa207,incorrect,The difference in electrical charge between two terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj35-l1.qa231,incorrect,Voltage is the difference between the positive terminal and negative terminal in a battery.
2,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj35-l1.qa232,correct,Voltage is the difference in electrical states between two terminals.
1,,FaultFinding-VOLTAGE_DEFINE_Q.sbj36-l1.qa235,incorrect,the amount of volts
1,,FaultFinding-VOLTAGE_DEFINE_Q.sbj36-l1.qa236,incorrect,the distance between terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj36-l1.qa237,incorrect,the difference between terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj37-l1.qa204,incorrect,a difference between two terminals with a measurement
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj37-l1.qa205,incorrect,a difference is electrical states between two terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj38-l1.qa209,correct,voltage is the difference in electrical states between two terminals of a circuit
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj38-l1.qa210,correct,the difference in electrical states of two terminals
1,answer244,FaultFinding-VOLTAGE_DEFINE_Q.sbj39-l1.qa252,incorrect,The difference betweej two terminals that are not connected
