_id,_accuracy,__text
MX.24.384.1,incorrect,Because it turns clear. It bubbles.
MX.24.388.1,correct,When you can see through the solution. When the solid gets dissolved into the liquid.
MX.24.389.1,incorrect,When you mix a solid and a liquid it is clear.
MX.24.390.1,incorrect,Because the mixture is clear.
MX.24.393.1,incorrect,It is clear and can be separated with evaporation.
MX.24.394.1,correct,"You can see through the mixture, and one material has dissolved."
MX.24.400.1,correct,"When one seems to disappear because it has dissolved, and you can see through it."
MX.24.433.1,incorrect,When it creates one type of something. Like chocolate milk.
MX.24.435.1,correct,It is when you cannot see the solid from the liquid.
MX.24.438.1,incorrect,When you cannot separate them with filters or screens.
MX.24.455.1,incorrect,"The solid seems to disappear, or dissolve."
MX.24.465.1,incorrect,Well I will see the solid at the bottom and the liquid on top of it.
MX.24.466.1,incorrect,You know because the solid matrix I will dissolve overnight.
MX.24.467.1,incorrect,Then material will probably split up into smaller parts.
MX.24.469.1,incorrect,Because the solid is kind of hard and liquid is more smoother.
MX.24.470.1,incorrect,When you cannot see the solid.
MX.24.495.1,correct,The solid dissolves. The solid breaks into tiny pieces so tiny no one can see it.
MX.24.497.1,incorrect,If you experiment you might find a way to separate.
MX.24.499.1,incorrect,Of the materials dissolve.
MX.24.563.1,incorrect,You know when the solid is dissolved.
MX.24.573.1,correct,When water and salt mix the salt disappears or seems to and when you cannot see the salt that means you have made a solution.
MX.24.576.1,correct,The solid disappears into air pockets.
MX.24.593.1,incorrect,When something is mixing so you get a solution.
MX.24.598.1,incorrect,You see how it mixes together and sometimes there are bubbles or wet.
MX.24.600.1,incorrect,It is clear.
MX.24.601.1,incorrect,I know that because it is mixed up because it is not clear anymore.
MX.24.608.1,incorrect,When the water turns gray or a different color.
MX.24.610.1,incorrect,"Powder and water when they mix together. The water turn white, that how you tell or you look to the bottom."
MX.24.613.1,incorrect,When they are in the container the water brushes off some dirt from the solid.
MX.24.629.1,incorrect,When the solid dissolves.
MX.24.638.1,incorrect,Because one of the chemicals dissolves.
