_id,_accuracy,__text
FN.24b.111.1,correct,"No, because with pure sugar is higher than 200 milliliters and Fruity Cream cookies is 150 milliliters."
FN.24b.113.1,correct,They are not pure sugar. My evidence is pure sugar has 200 milliliters. They only have 150.
FN.24b.118.1,incorrect,I think yes and no because cookies are not just pure sugar they are sweet as well so they do have sugar but not a whole lot of sugar.
FN.24b.145.1,correct,Fruity Cream cookies is not pure sugar because it would be as high as the volume tube with pure sugar.
FN.24b.183.1,correct,No because the Fruity Cream cookies are only 150 milliliters while pure sugar is 200 milliliters.
FN.24b.187.1,correct,"No, they are not pure sugar because the pure sugar is 200 milliliters and the cookie Is 150 milliliters."
FN.24b.210.1,correct,"No, Fruity Cream cookies have 150 milliliters of carbon dioxide and pure sugar has 200 milliliters carbon dioxide."
FN.24b.224.1,correct,"No but they do have sugar. If it was pure sugar, it would be 200 milliliters not 150 milliliters like it is."
FN.24b.234.1,correct,No because the experiment tells so cookies have 150 while sugar has 200.
FN.24b.242.1,correct,No because they had less carbon dioxide than the pure sugar did.
FN.24b.243.1,correct,"Fruity Cream cookies are not pure sugar because if it was pure sugar, it would be just like the pure sugar in other tube."
FN.24b.258.1,correct,No Fruity Cream cookies are not pure sugar. My evidence is that there was more carbon dioxide in the pure sugar volume tube than in the Fruity Cream cookies tube. And carbon dioxide is provided when yeast has warmth sugar and water.
FN.24b.280.1,correct,Fruity Cream cookies are not pure sugar. I know this because if the Fruity Cream cookies were pure sugar the volume tube would read the same.
FN.24b.300.1,correct,The Fruity Cream is not pure sugar because the cookie amount of milliliters does not meet the amount of milliliters in pure sugar.
FN.24b.301.1,incorrect,Finally Cream cookies are not pure sugar I know that because.
FN.24b.315.1,incorrect,No because on the diagram it shows pure sugar is more than Fruity Cream cookies.
FN.24b.319.1,incorrect,No Fruity Cream cookies are not pure sugar because it is fruity. Fruity means it is fruit.
FN.24b.322.1,incorrect,Yes because Fruity Cream cookies have sugar.
FN.24b.328.1,correct,They are almost pure sugar because they column tube on the left is above 200 milliliters and the one on the right is below.
FN.24b.367.1,correct,"No, because they have less carbon dioxide than pure sugar."
FN.24b.388.1,correct,"No, Fruity Cream is not pure sugar the chart says that the cookies are at 150 milliliters and pure sugar is 200 milliliters."
FN.24b.390.1,incorrect,"Fruity Cream cookies are pure sugar, because the volume tube tells if it has sugar and it has sugar because it is sweet."
FN.24b.395.1,incorrect,"No, because on the top it has the name of the cookies and it shows how much sugar it has in it."
FN.24b.418.1,incorrect,"No, because there is fruit and fruit does not have that much sugar."
FN.24b.432.1,incorrect,"No, because the pictures on the right show you that the cookies have less."
FN.24b.459.1,incorrect,"Yes, my evidence is that Diva's father said that they were pure sugar."
FN.24b.493.1,incorrect,"No, Fruity Cream cookies are not pure sugar because if you compare it the cookies are not the same mass."
FN.24b.495.1,incorrect,"No, Fruity Cream cookies are not pure sugar because they are not 4 grams."
FN.24b.508.1,correct,No they are not pure sugar if it was it would pass 350 milliliters.
FN.24b.512.1,correct,"No, Fruity Cream cookies are not pure sugar because pure sugar is about 200 and Fruity Cream cookies are at least 150 milliliters."
FN.24b.513.1,correct,"No, Fruity Cream cookies is not pure sugar because pure sugar is 200 milliliters and Fruity Cream cookies is less than 200 milliliters."
FN.24b.521.1,correct,"No, Fruity Cream cookies are not pure sugar. My evidence was, pure sugar result were 200 milliliters and the cookies were 150."
FN.24b.533.1,correct,"No, they are not put sugar because when she put the cookies in the volume measure it was not to the highest number."
FN.24b.541.1,incorrect,Fruity Cream cookies have a lot of pure sugar and the cream cookies have less sugar.
FN.24b.547.1,correct,Fruity Cream cookies are not pure sugar and my evidence is that pure sugar is 200 milliliters but Fruity Cream cookies is only 150 milliliters.
FN.24b.561.1,incorrect,Yes because cookies has a lot of sugar in it.
